status;replacement_uniqueName;replacement_sourceID;tag;uniqueName;sourceID
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_spill;3836
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_tv;3834
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_lyd;3835
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_data;3833
R;forbruker_digital;3612;;forbruker_digital_guider_lenker;3655
R;forbruker_digital;3612;;forbruker_digital_guider_gratisprogram;3654
R;forbruker_digital;3612;;forbruker_digital_verktoy;3657
R;forbruker_digital;3612;;forbruker_digital_fotojakt;6780
R;forbruker_digital;3612;;forbruker_digital_nyhetsbrev;3892
R;forbruker_digital;3612;;forbruker_digital_mobilkalkulator;5155
R;forbruker_digital;3612;;forbruker_digital_fasttelefon;5156
R;forbruker_digital;3612;;forbruker_digital_siste100;3813
R;;;;forbruker_hytte;5255
R;forbruker_hytte;5255;;forbruker_hytte_bildeserier;5256
R;forbruker_hytte;5255;;forbruker_hytte_gjordetselv;5257
R;forbruker_hytte;5255;;forbruker_hytte_hyttemagasinet;5272
R;forbruker_hytte;5255;;forbruker_hytte_eksperter;5259
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_juristene;5264
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_krossen;5266
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_smaaland;5267
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_enger;5268
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_krogedal;7572
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_leivestad;6711
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_jorgensen;6712
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_lampe;6713
R;forbruker_hytte;5255;;forbruker_hytte_eksperter_gellein;6710
R;forbruker_hytte;5255;;forbruker_hytte_siste100;5271
R;forbruker_hytte;5255;;forbruker_hytte_abonnement;5258
R;forbruker;41;;forbruker_bildeserieviser;5295
R;forbruker;41;;poll_forbruker;6950
R;forbruker;41;;forbruker_nyhetsbrev;2952
R;forbruker;41;;forbruker_nyhetsbrev_reg;2954
B;;;;video;4272
B;;;;video_anbefalt;9092
B;;;;video_nyheter;9093
B;;;;video_reise;9094
B;;;;video_sport;9095
S;video_sport;9095;15054000;video_sport_fotball;9473
B;;;;video_kultur;9096
 R;video;4272;;video_japan;10234
 R;video;4272;;video_paaske;9293
 R;video;4272;;video_grandprix;9454
 R;video;4272;;video_humor;9874
 R;video;4272;;video_5080;10015
 R;video;4272;;video_skraablikk;9097
D;;;;dyr;437
R;;;;reise;47
R;;;;reise_ski;537
R;;;;reise_flyinfo;10114
R;;;;reise_reisemaal;6111
R;;;;reise_reisemaal_dest;6650
R;;;;reise_tema;6112
R;;;;reise_tema_sub;6673
R;;;;reise_bildeserier;6129
R;;;;reise_siste100;6149
R;;;;reise_nyhetsbrev;6169
R;;;;reise_sok;6670
R;;;;reise_test_quiz;6671
R;;;;quizwire;9934
R;;;;reise_test_quiz_full;9834
R;;;;reise_nyheter;6672
R;;;;reise_hvaskjer;6791
R;;;;lonelyplanet;6875
R;;;;reise_partners;7032
R;;;;reise_reiseinfo;7111
R;;;;reise_landsider;7470
R;;;;reise_inma;7870
